TEXT,TWEET_CREATED,NAME,_UNIT_ID,RETWEET_COUNT,IS_REPLY,IS_RETWEET,FAVES,REPLIES
"@VirginAmerica What @dhepburn said.",2024-01-24T11:35:00.000Z,cairdin,681448150,0,true,false,167,92
"@VirginAmerica plus you've added commercials to the experience... tacky.",2024-06-24T11:15:00.000Z,jnardino,681448153,0,false,true,356,186
"@VirginAmerica I didn't today... Must mean I need to take another trip!",2024-01-24T11:15:00.000Z,yvonnalynn,681448156,0,true,false,8,4
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2024-02-24T11:15:00.000Z,jnardino,681448158,0,false,true,400,39
"@VirginAmerica and it's a really big bad thing about it",2024-04-24T11:14:00.000Z,jnardino,681448159,0,true,false,362,64
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing. $2it's really the only bad thing about flying VA",2024-06-24T11:14:00.000Z,jnardino,681448162,0,false,true,150,197
"@VirginAmerica yes, nearly every time I fly VX this ���ear worm�۝ won�۪t go away :)",2023-11-24T11:13:00.000Z,cjmcginnis,681448165,0,true,false,258,227
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2023-10-24T11:12:00.000Z,pilot,681448167,0,true,false,267,117
"@virginamerica Well, I didn't��_but NOW I DO! :-D",2024-04-24T11:11:00.000Z,dhepburn,681448169,0,false,true,87,65
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2023-10-24T10:53:00.000Z,YupitsTate,681448171,0,true,false,308,36
"@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24",2023-12-24T10:48:00.000Z,idk_but_youtube,681448174,0,false,true,27,239
"@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D",2024-02-24T10:30:00.000Z,HyperCamiLax,681448176,0,true,false,398,15
"@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p",2024-01-24T10:30:00.000Z,HyperCamiLax,681448178,0,true,false,194,146
"@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn",2024-01-24T10:21:00.000Z,mollanderson,681448181,0,true,false,76,7
"@VirginAmerica Thanks!",2024-03-24T10:15:00.000Z,sjespers,681448182,0,false,false,56,73
"@VirginAmerica SFO-PDX schedule is still MIA.",2024-06-24T10:01:00.000Z,smartwatermelon,681448184,0,false,false,375,226
"@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo",2024-01-24T09:42:00.000Z,ItzBrianHunty,681448186,0,false,true,231,204
"@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!",2024-05-24T09:39:00.000Z,heatherovieda,681448188,0,true,false,3,25
"I ��_��� flying @VirginAmerica. ������_�ԍ",2024-04-24T09:15:00.000Z,thebrandiray,681448190,0,true,false,39,175
"@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.",2024-06-24T09:04:00.000Z,JNLpierce,681448192,0,true,false,215,2
"@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???",2024-03-24T08:55:00.000Z,MISSGJ,681448194,0,false,true,116,230
"@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA",2023-10-24T08:49:00.000Z,DT_Les,681448197,0,false,false,255,57
"@VirginAmerica I love the hipster innovation. You are a feel good brand.",2023-10-24T08:30:00.000Z,ElvinaBeck,681448199,0,true,false,177,105
"@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?",2023-10-24T08:27:00.000Z,rjlynch21086,681448201,0,true,false,30,86
"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _��� I want free internet",2023-10-24T08:18:00.000Z,ayeevickiee,681448204,0,true,false,102,215
"@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.",2024-04-24T07:49:00.000Z,Leora13,681448206,0,true,false,219,88
"@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail",2024-05-24T07:11:00.000Z,meredithjlynn,681448208,0,false,true,347,11
"@VirginAmerica do you miss me? Don't worry we'll be together very soon.",2024-04-24T05:44:00.000Z,AdamSinger,681448211,0,true,false,215,73
"@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS",2023-10-24T05:05:00.000Z,blackjackpro911,681448213,0,true,false,100,222
"@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix",2024-06-23T23:34:00.000Z,TenantsUpstairs,681448214,0,true,false,121,77
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _���",2023-11-23T22:52:00.000Z,jordanpichler,681448218,0,false,true,339,21
"@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?",2024-05-23T21:35:00.000Z,JCervantezzz,681448221,0,true,false,327,124
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2023-10-23T21:10:00.000Z,Cuschoolie1,681448223,0,true,false,259,238
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",2024-03-23T20:55:00.000Z,amanduhmccarty,681448225,0,true,false,106,43
"@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews",2023-10-23T20:24:00.000Z,NorthTxHomeTeam,681448228,0,false,true,381,234
"Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP",2023-10-23T18:46:00.000Z,miaerolinea,681448230,0,false,true,355,199
"@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _��ω�� #MoodlitMonday",2023-12-23T18:43:00.000Z,Nicsplace,681448235,0,true,false,322,119
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",2024-03-23T18:19:00.000Z,Nicsplace,681448239,0,true,false,264,139
"@VirginAmerica when can I book my flight to Hawaii??",2024-04-23T17:54:00.000Z,elisha_malulani,681448241,0,false,true,309,104
"@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk",2024-02-23T17:41:00.000Z,DannyDouglass,681448243,0,true,false,29,66
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2023-10-23T17:32:00.000Z,jamesferrandini,681448245,0,true,false,333,59
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2024-03-23T17:00:00.000Z,will_lenzenjr,681448247,0,true,false,131,58
"@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _ٍ�_�ԍ_�ռ������",2024-05-23T16:24:00.000Z,GottAmanda,681448249,0,true,false,139,53
"@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp",2024-04-23T16:20:00.000Z,KGervaise,681448251,0,false,true,44,29
"@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?",2024-05-23T16:13:00.000Z,papamurat,681448254,0,true,false,7,208
"@VirginAmerica I'm #elevategold for a good reason: you rock!!",2024-05-23T16:08:00.000Z,arieldaie,681448256,0,true,false,292,52
"@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx",2023-11-23T16:04:00.000Z,vacations7,681448258,0,true,false,189,24
"@VirginAmerica wow this just blew my mind",2024-05-23T16:01:00.000Z,ChelseaPoe666,681448260,0,true,false,169,24
"@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree",2023-11-23T16:01:00.000Z,BobGlavinVO,681448262,0,false,true,382,101
"@VirginAmerica @ladygaga @carrieunderwood All were entertaining",2023-11-23T15:58:00.000Z,lisaaiko,681448264,0,false,true,76,180
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2024-05-23T15:55:00.000Z,grantbrowne,681448265,0,true,false,398,143
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood",2024-06-23T15:46:00.000Z,joyabsalon,681448267,0,false,true,286,158
"@VirginAmerica wish you flew out of Atlanta... Soon?",2024-06-23T15:36:00.000Z,2v,681448269,0,true,false,129,86
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.",2024-03-23T15:24:00.000Z,KSmithFoundHere,681448271,0,false,true,133,75
"@VirginAmerica Will flights be leaving Dallas for LA on February 24th?",2023-12-23T15:19:00.000Z,papamurat,681448273,0,true,false,156,143
"@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!",2024-04-23T15:05:00.000Z,murphicus,681448275,0,false,false,287,19
"@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures",2024-06-23T15:04:00.000Z,VinnieFerra,681448278,0,true,false,118,142
"@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _��_",2024-05-23T14:40:00.000Z,KevinDemsi,681448280,0,true,false,368,31
"@VirginAmerica @ladygaga @carrieunderwood - Carrie!",2024-02-23T14:40:00.000Z,giffgaffman,681448282,0,true,false,282,63
"@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?",2023-12-23T14:37:00.000Z,HanlonBrothers,681448284,0,true,false,344,18
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.",2024-02-23T14:36:00.000Z,emilybg78,681448288,0,false,true,253,227
"@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!",2024-03-23T14:35:00.000Z,rachie1126,681448290,0,true,false,349,166
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _���_���",2024-03-23T14:30:00.000Z,adawson66,681448292,0,true,false,296,5
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2023-10-23T14:26:00.000Z,SocialPLC,681448295,0,false,false,341,151
"@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!",2024-01-23T14:25:00.000Z,jeffreymace01,681448297,0,true,false,43,16
"@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.",2024-06-23T14:09:00.000Z,1stcrown,681448299,0,false,true,83,230
"@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/",2024-06-23T13:46:00.000Z,onerockgypsy,681448302,0,true,false,103,80
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2024-01-23T13:35:00.000Z,noelduan,681448303,0,true,false,85,228
"@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV",2024-06-23T13:30:00.000Z,Travelzoo,681448306,0,false,true,130,82
"@VirginAmerica everything was fine until you lost my bag",2024-05-23T13:08:00.000Z,gianagon,681448308,0,false,true,270,214
