2020-01-01,2020-01-01,112740
2020-01-01,2020-02-01,56370
2020-01-01,2020-03-01,28185
2020-01-01,2020-04-01,14092
2020-02-01,2020-02-01,114996
2020-02-01,2020-03-01,57498
2020-02-01,2020-04-01,28749
2020-02-01,2020-05-01,14374
2020-03-01,2020-03-01,111737
2020-03-01,2020-04-01,55868
2020-03-01,2020-05-01,27934
2020-03-01,2020-06-01,13967
2020-04-01,2020-04-01,114861
2020-04-01,2020-05-01,57430
2020-04-01,2020-06-01,28715
2020-04-01,2020-07-01,14357
2020-05-01,2020-05-01,114554
2020-05-01,2020-06-01,57277
2020-05-01,2020-07-01,28638
2020-05-01,2020-08-01,14319
2020-06-01,2020-06-01,119191
2020-06-01,2020-07-01,59595
2020-06-01,2020-08-01,29797
2020-06-01,2020-09-01,14898
2020-07-01,2020-07-01,116727
2020-07-01,2020-08-01,58363
2020-07-01,2020-09-01,29181
2020-07-01,2020-10-01,14590
2020-08-01,2020-08-01,116881
2020-08-01,2020-09-01,58440
2020-08-01,2020-10-01,29220
2020-08-01,2020-11-01,14610
2020-09-01,2020-09-01,115390
2020-09-01,2020-10-01,57695
2020-09-01,2020-11-01,28847
2020-09-01,2020-12-01,14423
2020-10-01,2020-10-01,112022
2020-10-01,2020-11-01,56011
2020-10-01,2020-12-01,28005
2020-10-01,2021-01-01,14002
2020-11-01,2020-11-01,118335
2020-11-01,2020-12-01,59167
2020-11-01,2021-01-01,29583
2020-11-01,2021-02-01,14791
2020-12-01,2020-12-01,112129
2020-12-01,2021-01-01,56064
2020-12-01,2021-02-01,28032
2020-12-01,2021-03-01,14016
2021-01-01,2021-01-01,118458
2021-01-01,2021-02-01,59229
2021-01-01,2021-03-01,29614
2021-01-01,2021-04-01,14807
2021-02-01,2021-02-01,119796
2021-02-01,2021-03-01,59898
2021-02-01,2021-04-01,29949
2021-02-01,2021-05-01,14974
2021-03-01,2021-03-01,112474
2021-03-01,2021-04-01,56237
2021-03-01,2021-05-01,28118
2021-03-01,2021-06-01,14059
2021-04-01,2021-04-01,111059
2021-04-01,2021-05-01,55529
2021-04-01,2021-06-01,27764
2021-04-01,2021-07-01,13882
2021-05-01,2021-05-01,117708
2021-05-01,2021-06-01,58854
2021-05-01,2021-07-01,29427
2021-05-01,2021-08-01,14713
2021-06-01,2021-06-01,113477
2021-06-01,2021-07-01,56738
2021-06-01,2021-08-01,28369
2021-06-01,2021-09-01,14184
2021-07-01,2021-07-01,114540
2021-07-01,2021-08-01,57270
2021-07-01,2021-09-01,28635
2021-07-01,2021-10-01,14317
2021-08-01,2021-08-01,111998
2021-08-01,2021-09-01,55999
2021-08-01,2021-10-01,27999
2021-08-01,2021-11-01,13999
2021-09-01,2021-09-01,110741
2021-09-01,2021-10-01,55370
2021-09-01,2021-11-01,27685
2021-09-01,2021-12-01,13842
2021-10-01,2021-10-01,116688
2021-10-01,2021-11-01,58344
2021-10-01,2021-12-01,29172
2021-10-01,2022-01-01,14586
2021-11-01,2021-11-01,119414
2021-11-01,2021-12-01,59707
2021-11-01,2022-01-01,29853
2021-11-01,2022-02-01,14926
2021-12-01,2021-12-01,111845
2021-12-01,2022-01-01,55922
2021-12-01,2022-02-01,27961
2021-12-01,2022-03-01,13980
2022-01-01,2022-01-01,116070
2022-01-01,2022-02-01,58035
2022-01-01,2022-03-01,29017
2022-01-01,2022-04-01,14508
2022-02-01,2022-02-01,115416
2022-02-01,2022-03-01,57708
2022-02-01,2022-04-01,28854
2022-02-01,2022-05-01,14427
2022-03-01,2022-03-01,118586
2022-03-01,2022-04-01,59293
2022-03-01,2022-05-01,29646
2022-03-01,2022-06-01,14823
2022-04-01,2022-04-01,114403
2022-04-01,2022-05-01,57201
2022-04-01,2022-06-01,28600
2022-04-01,2022-07-01,14300
2022-05-01,2022-05-01,110897
2022-05-01,2022-06-01,55448
2022-05-01,2022-07-01,27724
2022-05-01,2022-08-01,13862
2022-06-01,2022-06-01,116556
2022-06-01,2022-07-01,58278
2022-06-01,2022-08-01,29139
2022-06-01,2022-09-01,14569
2022-07-01,2022-07-01,117620
2022-07-01,2022-08-01,58810
2022-07-01,2022-09-01,29405
2022-07-01,2022-10-01,14702
2022-08-01,2022-08-01,110720
2022-08-01,2022-09-01,55360
2022-08-01,2022-10-01,27680
2022-08-01,2022-11-01,13840
2022-09-01,2022-09-01,118636
2022-09-01,2022-10-01,59318
2022-09-01,2022-11-01,29659
2022-09-01,2022-12-01,14829
2022-10-01,2022-10-01,114937
2022-10-01,2022-11-01,57468
2022-10-01,2022-12-01,28734
2022-10-01,2023-01-01,14367
2022-11-01,2022-11-01,117403
2022-11-01,2022-12-01,58701
2022-11-01,2023-01-01,29350
2022-11-01,2023-02-01,14675
2022-12-01,2022-12-01,118801
2022-12-01,2023-01-01,59400
2022-12-01,2023-02-01,29700
2022-12-01,2023-03-01,14850
2023-01-01,2023-01-01,116480
2023-01-01,2023-02-01,58240
2023-01-01,2023-03-01,29120
2023-01-01,2023-04-01,14560
2023-02-01,2023-02-01,116115
2023-02-01,2023-03-01,58057
2023-02-01,2023-04-01,29028
2023-02-01,2023-05-01,14514
2023-03-01,2023-03-01,115585
2023-03-01,2023-04-01,57792
2023-03-01,2023-05-01,28896
2023-03-01,2023-06-01,14448
2023-04-01,2023-04-01,118734
2023-04-01,2023-05-01,59367
2023-04-01,2023-06-01,29683
2023-04-01,2023-07-01,14841
2023-05-01,2023-05-01,116975
2023-05-01,2023-06-01,58487
2023-05-01,2023-07-01,29243
2023-05-01,2023-08-01,14621
2023-06-01,2023-06-01,111364
2023-06-01,2023-07-01,55682
2023-06-01,2023-08-01,27841
2023-06-01,2023-09-01,13920
2023-07-01,2023-07-01,115722
2023-07-01,2023-08-01,57861
2023-07-01,2023-09-01,28930
2023-07-01,2023-10-01,14465
2023-08-01,2023-08-01,114886
2023-08-01,2023-09-01,57443
2023-08-01,2023-10-01,28721
2023-08-01,2023-11-01,14360
2023-09-01,2023-09-01,118385
2023-09-01,2023-10-01,59192
2023-09-01,2023-11-01,29596
2023-09-01,2023-12-01,14798
2023-10-01,2023-10-01,113493
2023-10-01,2023-11-01,56746
2023-10-01,2023-12-01,28373
2023-10-01,2024-01-01,14186
2023-11-01,2023-11-01,113217
2023-11-01,2023-12-01,56608
2023-11-01,2024-01-01,28304
2023-11-01,2024-02-01,14152
2023-12-01,2023-12-01,118250
2023-12-01,2024-01-01,59125
2023-12-01,2024-02-01,29562
2023-12-01,2024-03-01,14781
2024-01-01,2024-01-01,119894
2024-01-01,2024-02-01,59947
2024-01-01,2024-03-01,29973
2024-01-01,2024-04-01,14986
2024-02-01,2024-02-01,110469
2024-02-01,2024-03-01,55234
2024-02-01,2024-04-01,27617
2024-02-01,2024-05-01,13808
2024-03-01,2024-03-01,111407
2024-03-01,2024-04-01,55703
2024-03-01,2024-05-01,27851
2024-03-01,2024-06-01,13925
2024-04-01,2024-04-01,113015
2024-04-01,2024-05-01,56507
2024-04-01,2024-06-01,28253
2024-04-01,2024-07-01,14126
2024-05-01,2024-05-01,119642
2024-05-01,2024-06-01,59821
2024-05-01,2024-07-01,29910
2024-05-01,2024-08-01,14955
2024-06-01,2024-06-01,117332
2024-06-01,2024-07-01,58666
2024-06-01,2024-08-01,29333
2024-06-01,2024-09-01,14666
2024-07-01,2024-07-01,113674
2024-07-01,2024-08-01,56837
2024-07-01,2024-09-01,28418
2024-07-01,2024-10-01,14209
2024-08-01,2024-08-01,113404
2024-08-01,2024-09-01,56702
2024-08-01,2024-10-01,28351
2024-08-01,2024-11-01,14175
2024-09-01,2024-09-01,111155
2024-09-01,2024-10-01,55577
2024-09-01,2024-11-01,27788
2024-09-01,2024-12-01,13894
